FacilityZip,FacilityCity,FacilityState,FacilityLatitude,FacilityLongitude,Facility_ID,FacilityDistribution_Center_ID,FacilityWarehouse_ID,FacilityTotalOrdersShipped,FacilityTotalOrdersReturned,FacilityTotalOrdersDelayedDelivery
10152,New York,NY,40.758611,-73.97223,,DistributionCenter_19,Warehouse_6,11,3,4
10132,New York,NY,40.780751,-73.977182,,DistributionCenter_19,Warehouse_6,5,2,1
10031,New York,NY,40.826201,-73.94879,,DistributionCenter_19,Warehouse_6,4,0,1
10257,New York,NY,40.780751,-73.977182,DistributionCenter_19,DistributionCenter_19,Warehouse_6,8,3,3
10020,New York,NY,40.758667,-73.98024,,DistributionCenter_19,Warehouse_6,17,3,3
10280,New York,NY,40.707467,-74.0178,,DistributionCenter_19,Warehouse_6,16,3,4
10022,New York,NY,40.759015,-73.96732,,DistributionCenter_19,Warehouse_6,17,6,2
10171,New York,NY,40.756099,-73.97401,,DistributionCenter_19,Warehouse_6,12,3,1
10111,New York,NY,40.759235,-73.97775,,DistributionCenter_19,Warehouse_6,13,3,1
10197,New York,NY,40.780751,-73.977182,,DistributionCenter_19,Warehouse_6,12,3,1
10274,New York,NY,40.780751,-73.977182,,DistributionCenter_19,Warehouse_6,17,0,3
10006,New York,NY,40.707904,-74.01342,,DistributionCenter_19,Warehouse_6,15,1,3
10196,New York,NY,40.780751,-73.977182,,DistributionCenter_19,Warehouse_6,9,3,0
10170,New York,NY,40.752859,-73.97608,,DistributionCenter_19,Warehouse_6,14,1,3
10275,New York,NY,40.780751,-73.977182,,DistributionCenter_19,Warehouse_6,10,0,3
10098,New York,NY,40.748181,-73.988421,,DistributionCenter_19,Warehouse_6,11,0,2
10115,New York,NY,40.810906,-73.96375,,DistributionCenter_19,Warehouse_6,19,3,6
10103,New York,NY,40.760915,-73.97785,Warehouse_7,DistributionCenter_20,Warehouse_7,9,3,0
10005,New York,NY,40.706019,-74.00858,,DistributionCenter_20,Warehouse_7,8,1,1
10249,New York,NY,40.780751,-73.977182,,DistributionCenter_20,Warehouse_7,12,3,2
10002,New York,NY,40.71704,-73.987,,DistributionCenter_20,Warehouse_7,13,2,2
10090,New York,NY,40.780751,-73.977182,,DistributionCenter_20,Warehouse_7,12,1,4
10156,New York,NY,40.780751,-73.977182,,DistributionCenter_20,Warehouse_7,15,4,2
10184,New York,NY,40.780751,-73.977182,,DistributionCenter_20,Warehouse_7,11,3,3
10046,New York,NY,40.780751,-73.977182,,DistributionCenter_20,Warehouse_7,13,3,4
10033,New York,NY,40.848764,-73.93496,DistributionCenter_20,DistributionCenter_20,Warehouse_7,20,4,1
11302,New York,NY,40.75945,-73.715016,,DistributionCenter_20,Warehouse_7,15,4,3
10019,New York,NY,40.765714,-73.9856,,DistributionCenter_21,Warehouse_7,10,2,0
10047,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7,14,3,2
10095,New York,NY,40.748181,-73.988421,,DistributionCenter_21,Warehouse_7,15,3,5
10164,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7,8,3,1
10015,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7,15,4,2
10286,New York,NY,40.714231,-74.011895,DistributionCenter_21,DistributionCenter_21,Warehouse_7,18,7,4
10162,New York,NY,40.769334,-73.94893,,DistributionCenter_21,Warehouse_7,9,2,3
10041,New York,NY,40.703042,-74.01009,,DistributionCenter_21,Warehouse_7,11,1,2
10009,New York,NY,40.727093,-73.97864,,DistributionCenter_21,Warehouse_7,14,2,2
10260,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7,13,6,4
10269,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7,15,2,3
10212,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7,15,2,2
10021,New York,NY,40.76842,-73.96045,,DistributionCenter_21,Warehouse_7,12,3,3
10101,New York,NY,40.780751,-73.977182,,DistributionCenter_21,Warehouse_7,11,3,5
10027,New York,NY,40.812665,-73.95499,,DistributionCenter_21,Warehouse_7,20,1,5
10185,New York,NY,40.780751,-73.977182,,DistributionCenter_22,Warehouse_7,15,5,2
10165,New York,NY,40.752354,-73.9789,,DistributionCenter_22,Warehouse_7,6,1,0
10282,New York,NY,40.717179,-74.01433,,DistributionCenter_22,Warehouse_7,14,4,4
10036,New York,NY,40.759511,-73.99019,,DistributionCenter_22,Warehouse_7,11,2,1
10174,New York,NY,40.751656,-73.97516,,DistributionCenter_22,Warehouse_7,15,1,2
10032,New York,NY,40.840686,-73.94154,DistributionCenter_22,DistributionCenter_22,Warehouse_7,15,3,3
10265,New York,NY,40.780751,-73.977182,,DistributionCenter_22,Warehouse_7,15,1,8
10179,New York,NY,40.780751,-73.977182,,DistributionCenter_22,Warehouse_7,5,3,2
10158,New York,NY,40.749435,-73.9758,,DistributionCenter_22,Warehouse_7,18,3,2
10045,New York,NY,40.70859,-74.008687,,DistributionCenter_22,Warehouse_7,13,0,4
10030,New York,NY,40.818151,-73.94351,,DistributionCenter_22,Warehouse_7,8,1,2
10285,New York,NY,40.71533,-74.016306,,DistributionCenter_22,Warehouse_7,17,4,4
10008,New York,NY,40.780751,-73.977182,,DistributionCenter_22,Warehouse_7,18,4,3
10113,New York,NY,40.780751,-73.977182,,DistributionCenter_22,Warehouse_7,12,3,2
10107,New York,NY,40.766429,-73.982728,,DistributionCenter_22,Warehouse_7,13,4,1
10087,New York,NY,40.780751,-73.977182,Warehouse_8,DistributionCenter_23,Warehouse_8,15,4,5
10173,New York,NY,40.754302,-73.97955,,DistributionCenter_23,Warehouse_8,8,2,1
11517,New York,NY,40.679845,-73.986415,,DistributionCenter_23,Warehouse_8,13,2,3
10133,New York,NY,40.780751,-73.977182,,DistributionCenter_23,Warehouse_8,14,4,3
10001,New York,NY,40.750742,-73.99653,,DistributionCenter_23,Warehouse_8,11,2,3
11286,New York,NY,40.658825,-74.004495,DistributionCenter_23,DistributionCenter_23,Warehouse_8,8,2,1
10213,New York,NY,40.780751,-73.977182,,DistributionCenter_23,Warehouse_8,14,2,4
10082,New York,NY,40.780751,-73.977182,,DistributionCenter_24,Warehouse_8,16,4,4
10028,New York,NY,40.776777,-73.9541,,DistributionCenter_24,Warehouse_8,12,5,1
10104,New York,NY,40.760943,-73.979908,,DistributionCenter_24,Warehouse_8,21,3,8
10153,New York,NY,40.763742,-73.97268,,DistributionCenter_24,Warehouse_8,10,3,1
10178,New York,NY,40.751378,-73.978507,,DistributionCenter_24,Warehouse_8,5,0,1
10043,New York,NY,40.780751,-73.977182,DistributionCenter_24,DistributionCenter_24,Warehouse_8,11,4,2
10167,New York,NY,40.754862,-73.97495,,DistributionCenter_24,Warehouse_8,16,0,3
10169,New York,NY,40.754463,-73.97606,,DistributionCenter_24,Warehouse_8,13,6,4
10120,New York,NY,40.750629,-73.989426,,DistributionCenter_24,Warehouse_8,9,2,1
10258,New York,NY,40.780751,-73.977182,Warehouse_9,DistributionCenter_25,Warehouse_9,14,3,6
10150,New York,NY,40.780751,-73.977182,,DistributionCenter_25,Warehouse_9,12,2,1
10024,New York,NY,40.786387,-73.97709,,DistributionCenter_25,Warehouse_9,18,6,6
10273,New York,NY,40.780751,-73.977182,,DistributionCenter_25,Warehouse_9,14,3,3
10079,New York,NY,40.780751,-73.977182,,DistributionCenter_25,Warehouse_9,16,3,6
10025,New York,NY,40.798502,-73.96811,,DistributionCenter_25,Warehouse_9,7,0,1
10157,New York,NY,40.780751,-73.977182,,DistributionCenter_25,Warehouse_9,18,6,3
10128,New York,NY,40.781894,-73.95039,,DistributionCenter_25,Warehouse_9,12,2,1
10270,New York,NY,40.706925,-74.008154,,DistributionCenter_25,Warehouse_9,13,4,1
10124,New York,NY,40.780751,-73.977182,DistributionCenter_25,DistributionCenter_25,Warehouse_9,16,3,2
10069,New York,NY,40.775477,-73.9905,,DistributionCenter_25,Warehouse_9,12,2,2
10105,New York,NY,40.762808,-73.978534,,DistributionCenter_25,Warehouse_9,15,4,1
10161,New York,NY,40.780751,-73.977182,,DistributionCenter_26,Warehouse_9,11,3,2
10272,New York,NY,40.780751,-73.977182,,DistributionCenter_26,Warehouse_9,16,1,2
10277,New York,NY,40.780751,-73.977182,DistributionCenter_26,DistributionCenter_26,Warehouse_9,10,2,3
10096,New York,NY,40.780751,-73.977182,,DistributionCenter_26,Warehouse_9,16,1,4
10003,New York,NY,40.732509,-73.98935,,DistributionCenter_26,Warehouse_9,13,3,4
10151,New York,NY,40.763419,-73.973971,,DistributionCenter_27,Warehouse_9,18,3,7
10271,New York,NY,40.708669,-74.01043,,DistributionCenter_27,Warehouse_9,13,4,3
10175,New York,NY,40.754305,-73.979782,,DistributionCenter_27,Warehouse_9,10,4,4
10279,New York,NY,40.713062,-74.00857,,DistributionCenter_27,Warehouse_9,14,4,4
10155,New York,NY,40.761104,-73.968036,DistributionCenter_27,DistributionCenter_27,Warehouse_9,13,3,1
10108,New York,NY,40.780751,-73.977182,,DistributionCenter_27,Warehouse_9,8,0,2
10112,New York,NY,40.759291,-73.97979,,DistributionCenter_27,Warehouse_9,12,2,0
10055,New York,NY,40.780751,-73.977182,,DistributionCenter_27,Warehouse_9,13,2,1
10211,New York,NY,40.780751,-73.977182,,DistributionCenter_27,Warehouse_9,15,4,4
2113,Boston,MA,42.365028,-71.05636,Warehouse_10,DistributionCenter_28,Warehouse_10,18,2,2
2209,Boston,MA,42.338947,-70.919635,,DistributionCenter_28,Warehouse_10,14,2,2
2110,Boston,MA,42.356532,-71.05365,,DistributionCenter_28,Warehouse_10,16,6,2
2121,Boston,MA,42.307448,-71.08127,DistributionCenter_28,DistributionCenter_28,Warehouse_10,13,2,2
2122,Boston,MA,42.296298,-71.05454,,DistributionCenter_28,Warehouse_10,9,2,1
2215,Boston,MA,42.346997,-71.10215,,DistributionCenter_28,Warehouse_10,13,3,1
2208,Boston,MA,42.338947,-70.919635,,DistributionCenter_28,Warehouse_10,10,1,2
2109,Boston,MA,42.361477,-71.05417,,DistributionCenter_28,Warehouse_10,9,1,2
2119,Boston,MA,42.324511,-71.08455,,DistributionCenter_28,Warehouse_10,11,1,1
2216,Boston,MA,42.338947,-70.919635,,DistributionCenter_28,Warehouse_10,11,3,2
2118,Boston,MA,42.338724,-71.07276,DistributionCenter_29,DistributionCenter_29,Warehouse_10,12,2,2
2116,Boston,MA,42.349622,-71.07372,,DistributionCenter_29,Warehouse_10,10,2,4
2115,Boston,MA,42.34308,-71.09268,,DistributionCenter_29,Warehouse_10,14,5,3
2125,Boston,MA,42.316852,-71.05811,,DistributionCenter_29,Warehouse_10,9,0,1
2266,Boston,MA,42.338947,-70.919635,,DistributionCenter_29,Warehouse_10,15,2,6
2284,Boston,MA,42.338947,-70.919635,,DistributionCenter_29,Warehouse_10,13,3,4
2108,Boston,MA,42.357903,-71.06408,,DistributionCenter_29,Warehouse_10,18,6,3
2293,Boston,MA,42.338947,-70.919635,,DistributionCenter_29,Warehouse_10,16,2,6
2205,Boston,MA,42.350334,-71.053877,,DistributionCenter_29,Warehouse_10,13,1,0
2222,Boston,MA,42.367797,-71.06282,Warehouse_11,DistributionCenter_30,Warehouse_11,11,3,3
2212,Boston,MA,42.446396,-71.459405,,DistributionCenter_30,Warehouse_11,12,4,3
2206,Boston,MA,42.338947,-70.919635,,DistributionCenter_30,Warehouse_11,15,3,4
2203,Boston,MA,42.361485,-71.060364,,DistributionCenter_30,Warehouse_11,8,0,0
2104,Boston,MA,42.338947,-70.919635,,DistributionCenter_30,Warehouse_11,10,3,4
2128,Boston,MA,42.378297,-71.0255,DistributionCenter_30,DistributionCenter_30,Warehouse_11,9,1,0
2295,Boston,MA,42.338947,-70.919635,,DistributionCenter_31,Warehouse_11,11,2,2
2103,Boston,MA,42.338947,-70.919635,,DistributionCenter_31,Warehouse_11,8,3,2
2101,Boston,MA,42.370567,-71.026964,,DistributionCenter_31,Warehouse_11,13,2,3
2133,Boston,MA,42.338947,-70.919635,,DistributionCenter_31,Warehouse_11,9,1,2
2117,Boston,MA,42.338947,-70.919635,,DistributionCenter_31,Warehouse_11,7,3,1
2127,Boston,MA,42.33499,-71.04562,,DistributionCenter_31,Warehouse_11,11,5,1
2114,Boston,MA,42.361792,-71.06774,DistributionCenter_31,DistributionCenter_31,Warehouse_11,10,0,4
2202,Boston,MA,42.361094,-71.061814,,DistributionCenter_32,Warehouse_11,15,0,3
2120,Boston,MA,42.332099,-71.09651,,DistributionCenter_32,Warehouse_11,12,3,3
2163,Boston,MA,42.367946,-71.12056,,DistributionCenter_32,Warehouse_11,9,2,4
2124,Boston,MA,42.28713,-71.07156,,DistributionCenter_32,Warehouse_11,17,3,5
2207,Boston,MA,42.338947,-70.919635,,DistributionCenter_32,Warehouse_11,16,7,1
2123,Boston,MA,42.338947,-70.919635,,DistributionCenter_32,Warehouse_11,13,1,6
2106,Boston,MA,42.354318,-71.073449,,DistributionCenter_32,Warehouse_11,14,3,2
2199,Boston,MA,42.34713,-71.08234,,DistributionCenter_32,Warehouse_11,13,4,3
2196,Boston,MA,42.338947,-70.919635,,DistributionCenter_32,Warehouse_11,17,4,2
2283,Boston,MA,42.338947,-70.919635,DistributionCenter_32,DistributionCenter_32,Warehouse_11,12,2,1
2112,Boston,MA,42.338947,-70.919635,,DistributionCenter_33,Warehouse_11,7,0,0
2217,Boston,MA,42.338947,-70.919635,,DistributionCenter_33,Warehouse_11,12,3,2
